Rang,Interpret,Sprache,Titel,Jahr,text
31,Brings,Hochdeutsch,Nur nicht aus Liebe weinen,2007,"Es ist ja ganz gleich wen wir lieben
und wer uns das Herz einmal bricht.
Wir werden vom Schicksal getrieben
und das Ende ist immer Verzicht.

Wir glauben und hoffen und denken
dass einmal ein Wunder geschieht.
Doch wenn wir uns dann verschenken
ist es das alte Lied:

Nur nicht aus Liebe weinen,
es gibt auf Erden nicht nur den Einen
es gibt so viele auf dieser Welt
ich liebe jeden, der mir gefällt.

Und darum will ich heut' dir gehören,
du sollst mir Treue und Liebe schwören.
Wenn ich auch fühle es muss ja Lüge sein:
Ich lüge auch, und bin dein.



Wir kamen von Süden und Norden,
mit Herzen so fremd und so stumm.
So bin ich die Deine geworden
und ich kann dir nicht sagen warum.

Denn als ich mich an dich verloren,
hab ich eines andern gedacht.
So war die Lüge geboren
schon in der ersten Nacht.

Nur nicht aus Liebe weinen,
es gibt auf Erden nicht nur den Einen.
Es gibt so viele auf dieser Welt,
ich liebe jeden, der mir gefällt.

Und darum will ich heut' dir gehören,
du sollst mir Treue und Liebe schwören.
Wenn ich auch fühle es muss ja Lüge sein:
Ich lüge auch, und bin dein.

(Solo)

Nur nicht aus Liebe weinen,
es gibt auf Erden nicht nur den einen.
Es gibt so viele auf dieser Welt
ich liebe jeden, der mir gefällt.

Und darum will ich heut' dir gehören,
du sollst mir Treue und Liebe schwören.
Wenn ich auch fühle es muss ja Lüge sein:
Ich lüge auch, und bin dein.

Nur nicht aus Liebe weinen,
es gibt auf Erden nicht nur den einen.
Es gibt so viele auf dieser Welt
ich liebe jeden, der mir gefällt.

Und darum will ich heut' dir gehören,
du sollst mir Treue und Liebe schwören.
Wenn ich auch fühle es muss ja Lüge sein:
Ich lüge auch, und bin dein.
(Ja ich lüge auch, und bin dein.)"
32,Bläck Fööss,Kölsch,En unserem Veedel,1973,"Wie soll dat nur wigger jon,
wat bliev dann hück noch ston,
die Hüsjer un Jasse
die Stündcher beim Klaafe
es dat vorbei.

En d'r Weetschaff op d'r Eck
ston die Männer an d'r Thek'
die Fraulückcher setze
beim Schwätzje zosamme
es dat vorbei.

Wat och passeet
dat Eine es doch klor
et Schönste, wat m'r han
schon all die lange Johr
es unser Veedel,
denn he hält m'r zosamme
ejal, wat och passeet
en uns'rem Veedel.

Uns Pänz, die spelle nit em Jras
un fällt ens einer op de Nas,
die Bühle un Schramme,
die fleck m'r zosamme,
dann es et vorbei.

Wat och passeet ...
En uns'rem Veedel.

Dat es doch klor,
mer blieven, wo mer sin,
schon all die lange Johr,
en uns'rem Veedel,
denn he hält m'r zosamme
ejal, wat och passeet,
en uns'rem Veedel."
33,Höhner,Kölsch,Viva Colonia,2002,"Met ner Pappnas jeboore, dr Dom en der Täsch,
hammer uns jeschwoore: Mir jonn unsre Wääch
Alles wat mer krieje künne, nemme mir och met,
weil et jede Aureblick nur einmol jitt...

Mir jonn zum F.C. Kölle un mir jonn zum KEC
Mir drinke jän e Kölsch un mir fahre KVB
Henkelmännche - Millowitsch, bei uns is immer jet loss
Mir fiere jän - ejal ob klein ob jroß - wat et och koss'!

Da simmer dabei! Dat es prima! VIVA COLONIA!
Wir lieben das Leben, die Liebe und die Lust
wir glauben an den lieben Gott und han auch immer Durst

Mir han dr Kölsche Klüngel un Arsch huh - su heiߴ et he!
Alaaf un Ruusemondaach un Aloha CSD
Mir sin multikulinarisch un sin multikulturell
Mir sin en jeder Hinsicht aktuell - auch sexuell!



Da simmer dabei! Dat is prima! VIVA COLONIA!
Wir lieben das Leben, die Liebe und die Lust
wir glauben an den lieben Gott und han auch immer Durst

Da simmer dabei! Dat is prima! VIVA COLONIA!
Wir lieben das Leben, die Liebe und die Lust
wir glauben an den lieben Gott und han auch immer Durst

Mir lävve hück - nit morje, su schnell verjeiht die Zick
L.M.A.A. ihr Sorje mir lävve der Aureblick

...und der is jenau jetz'!

Da simmer dabei! Dat is prima! VIVA COLONIA!
Wir lieben das Leben, die Liebe und die Lust
wir glauben an den lieben Gott und han auch immer Durst

Da simmer dabei! Dat is prima! VIVA COLONIA!
Wir lieben das Leben, die Liebe und die Lust
wir glauben an den lieben Gott und han auch immer Durst

Da simmer dabei!"
34,Stefan Raab und die Höhner,Kölsch,Ävver et Hätz bliev he in Kölle,2012,"Du wods jebore – he en dinger Stadt.
Et es en janze Zigg ald her
Un wenn et Dich och ens rusjetrocke hätt
feel Dir dä Affschied immer schwer
Du jings dann op de Reis – e Johr lang durch de Welt
Un häss su manche Fleck jesinn
Un manchmol blievs Du och länger fott von he
Weil do de Sun jet öfter schingk
Ävver et Hätz bliev he en Kölle Ejal – wohin et Dich och trick Egal Ävver et Hätz bliev he en Kölle Aber Denn nur he es et om räächte Fleck
Manch einer sät sich: „Jung! Ich muss he rus!
Mir wed et he ald jet zo eng!“
Ens noh Amerika, oder och ens noh Hawaii
Nur mit ´nem Büggel en de Häng
Hä schrief dann Kaate un meint: „Jung!
He willste niemols widder fott!“
Verzällt jän allen: „Dat musste och ens sin!
Dat meint sojar dä leeve Jott!“
Ävver et Hätz bliev he en Kölle Ejal – wohin et Dich och trick Ävver et Hätz bliev he en Kölle Denn nur he es et om räächte Fleck"
35,Klüngelköpp,Kölsch,Jedäuf met 4711,2013,"Minsche kumme op de Welt, ejal wo du jrad bes, 
doch et jitt en Stadt, wo dat jet janz besondres es. 
Kaum es de Nabelschnur jetrennt, dann bes de infiziert, 
un häs dr Dom op ding Siel tätowiert. 

Mer bruche keine Zaubertrank, su wie Asterix
nä, mir han e Jeheimrezept, jung, wat sääs de jetzt?

Mir sin jedäuf met 4711 mir han mit Sorje nix am Hoot,
mir sin jedäuf met 4711, dröm jeiht et uns joot!
Mir sin jedäuf met 4711, mir han mit Sorje nix am Hoot,
mir sin jedäuf met 4711, dröm jeiht et uns joot!

Ja La la la 

Fährs do ens en de Welt erus, dann kannste sicher sinn,
ejal wohin et jeiht, du triffs ne Kölsche vum Rhing,
uns Eijenaat, die merkste schnell, jet janz besondres es,
levve un levve looße, es bei uns Gesetz!


Mer bruche keine Zaubertrank, su wie Asterix,
nä, mir han e Jeheimrezept, jung, wat sääs de jetzt?

Mir sin jedäuf met 4711 mir han mit Sorje nix am Hoot,
mir sin jedäuf met 4711, dröm jeiht et uns joot!
Mir sin jedäuf met 4711, mir han mit Sorje nix am Hoot,
mir sin jedäuf met 4711, dröm jeiht et uns joot!
"
36,Hans Süper,Kölsch,Ich bin ene kölsche Jung,2012,"Als kleine Jung hat ich mich ens verlaufe,

ich jläuf ich wollt m'r nur e Rahmkamellsche kaufe,

ich fung ming Stroß nit mih, jo dat wor schwer,

ne Schutzmann frochte mich, Wo besde her?

Ich hatt en Angs, hä nohm mich beim Schlawitsche,

em Jeis saah ich mich schon terektdemang em Kittsche,

doch spot ich janz jenau, hä meint et joot met mir,

ich säht ihm dann treu hätzich op ming Ihr.

Ich ben e'ne Kölsche Jung, wat willste maache?

Ich ben e'ne Kölsche Jung un dun jään laache.

Ich ben och söns nit schlääch, nä ich ben brav,

Ming Lieblingswöötsche, heiss Kölle Alaaf!


Ich deit och schwer aan minger Mutter hänge,

wenn se och menchesmol met mir deit kräftig schänge,

doch wor em Jrund ich doch, dä leeve Jung,

su leich braat ich se nit us dem Verzung,

un hat ich ens e Sammeltass´ zerbroche´,

dann daach ich janz bestimmp jetzt häsde jet verbroche,

die Mam´ säät nor för mich, du küss nit vör de Tür,

ich säät dann, Mam´ ich kunn doch nix doför.


Ich ben e'ne Kölsche Jung, wat willste maache?

Ich ben e'ne Kölsche Jung un dun jään laache.

Ich ben och söns nit schlääch, nä ich ben brav,

Ming Lieblingswöötsche, heiss Kölle Alaaf!


Ich rode dir, loss nie d'r Kopp ens hange,

laach doch em Levve nur, dann weesde dich schun fange,

denn wenn de nit mi laachs, dat is verkeht,

sing doch ding Muttersproch op Kölsche Leed,

sing so wie ich, da bruchst dich nit zu schamme,

Sing su wie ich, du bruchs dich nit ze schamme,

und hässde Truusverloss, dann singe mir zesamme,

wenn do dann einesdaachs vör'm Himmelspötzje steihs,

dann saach dem Petrus heimlich janz still un leis:


Ich ben e'ne Kölsche Jung, wat willste maache?

Ich ben e'ne Kölsche Jung un dun jään laache.

Ich ben och söns nit schlääch, nä ich ben brav,

Ming Lieblingswöötsche, heiss Kölle Alaaf!"
37,Cat Ballou,Kölsch,Immer Immer Widder,2015,"Mie Lääve dat es Kölle
Mit jedem Augebleeck
He es et Hätz am rechte Fleck
Ich sing su jähn die ahl Kamalle
Von dä joode ahle Zick
Över die för mich nix dröver kütt
Ming Chaos un Harmonie
Ming Droje un Therapie
Ne Liebe die niemols verjeht
Su weed Tradition jelääv
Weil mie Hätz su schläht
Weil et mich usmäht
Weil mer niemols verjiss
Und weil et immer noch su es
Singe mir die kölsche Leeder
Spreche mich die Kölsche Sproch
Un mir donn et immer widder
Johr för Johr
Mir donn et immer immer widder
Wenn ruud und wieß zesamme kütt
Es dat die Formel för et Jlöck
Die weed uns schon vun klein aan injeziert
Mir jläuve aan dr leeven Jott denn
Domit sin die Sorje fott
Uch wenn mer zehus zo null verliert
Ming Chaos ming Harmonie
Ming Droje ming Therapie
Ne Sproch die he jeder versteiht
Jetz weed Tradition jelääv
Weil mie Hätz su schläht
Weil et mich usmäht
Weil mer niemols verjiss
Und weil et immer noch su es
Singe mir die kölsche Leeder
Spreche mir die Kölsche Sproch
Un mir donn et immer widder
Johr för Johr
Mir donn et immer immer widder
immer immer widder
immer immer widder
immer immer widder
Mir donn et immer immer widder
immer immer widder
immer immer widder
Johr för Johr
Ruud un wieß
Hätz un Siel
Kölsche Mädcher
Kölsche Junge
Mir donn et immer immer widder
Ruuse Mondaach
Mit dr ruude Papnas
Bes Äschermittwoch
Mir donn et immer immer widder
immer immer widder (immer immer widder)
immer immer widder (immer immer widder)
immer immer widder (immer immer widder)
Weil mie Hätz su schläht
Weil et mich usmäht
Weil mer niemols verjiss
Und weil et immer noch su es
Singe mir die kölsche Leeder
Spreche mir die Kölsche Sproch
Un mir donn et immer widder
Johr för Johr
Weil mie Hätz su schläht
Weil et mich usmäht
Weil mer niemols verjiss
Und weil et immer noch su es
Singe mir die kölsche Leeder
Spreche mir die Kölsche Sproch
Un mir donn et immer widder
Johr för Johr
Mir donn et immer immer widder
immer immer widder
immer immer widder
immer immer widder
Mir donn et immer immer widder
immer immer widder
immer immer widder
Johr för Johr
Mir donn et immer immer widder
immer immer widder
immer immer widder
immer immer widder"
38,Miljö,Kölsch,Wolkeplatz,2016,"Do sähs: „loss uns hück jet probiere“
Ich sag: „wat häss do vür?“
Do sähs, do kenns 'ne Platz in dä Wolke
Un ich sag: „wodrop waade mer?
Wodrop waade mer?“
Mer hevve aff, zum Wolkeplatz
Un unger uns dä Puls dä Stadt
Un dä jeiht: dam dam dam
Da-da-da-da-da-da-da-da dam dam dam
Da-da dam, da-da-da-da-da dam dam dam
Da-da dam, da-da-da-da-da dam dam dam
Da-da dam
Die Lück su klein wie Insekte
Die Hüsjer sinn us wie jemolt
Dä Fluss en vibrierende Oder
Un Felder, se leuchte in Jold, se leuchte in Jold
Mer hevve aff, zum Wolkeplatz
Un unger uns dä Puls dä Stadt
Un dä jeiht: dam dam dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam
Dam dam dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam
Mer fleeje huh durch Raum un Zigg
Zum Wolkeplatz un zuröck
Und singe:
Dam dam dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam
Dam dam dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam
Dam dam dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam
Dam dam dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam
Da-da-da-da-da-da-da-da dam dam dam, da-da dam"
39,Miljö,Kölsch,Su lang die Leechter noch brenne,2015,"Su lang beim Lommi die Leechter noch brenne
Su lang ‘ne Funk weiß, wie Stippefott jeiht
Su lang dä Pitter noch schläht, 
Dä Speimanes noch speit
Jo, su lang stirv dä Kölsche nit us
Mer süht et en d’r Zeidung,
Mer hürt et op d’r Stroß:
“Ming leeven Jott, et Engk es noh,
Die Kölsche stirve us”
Kei Bloskapell un och kei Flitsch,
Mer han dä Brassel jroß
Statt Ostermann un Millowitsch
Hürt mer jetz “Atemlos”
Doch et es nit nor en Sproch,
Et es nit nor Zohus,
En Levvensaat, die stirv su schnell nit us
Su lang beim Lommi die Leechter noch brenne
Su lang ‘ne Funk weiß, wie Stippefott jeiht
Su lang dä Pitter noch schläht, 
Dä Speimanes noch speit
Jo, su lang stirv dä Kölsche nit us
Mer hürt se nur noch selde,
Uns Muttersproch es weg
Un süht och immer winniger
Die Weetschaff op d’r Eck
Doch et jitt en noch, dä ahle Mann,
Dä jet zo verzälle hät
D’röm hald de Schnüss un hür ens zo
Un zeig im jet Respek
Denn et es nit nur en Sproch,
Et es nit nor Zohus,
En Levvensaat, die stirv su schnell nit us
Su lang beim Lommi die Leechter noch brenne
Su lang ‘ne Funk weiß, wie Stippefott jeiht
Su lang dä Pitter noch schläht, 
Dä Speimanes noch speit
Jo, su lang stirv dä Kölsche nit us
Un et bliev, bliev, bliev heh, wie et wor,
Denn mer sing, sing, singe och em nächste Johr
Jo, et bliev, bliev, bliev heh, wie et wor,
Denn mer singe och em nächste Johr
Su lang beim Lommi die Leechter noch brenne
Su lang ‘ne Funk weiß, wie Stippefott jeiht
Su lang dä Pitter noch schläht, 
Dä Speimanes noch speit
Jo, su lang stirv dä Kölsche nit us
Su lang beim Lommi die Leechter noch brenne
Su lang ‘ne Funk weiß, wie Stippefott jeiht
Su lang dä Pitter noch schläht, 
Dä Speimanes noch speit
Jo, su lang stirv dä Kölsche nit us
Su lang beim Lommi die Leechter noch brenne
Su lang ‘ne Funk weiß, wie Stippefott jeiht
Su lang dä Pitter noch schläht, 
Dä Speimanes noch speit
Jo, su lang stirv dä Kölsche nit us
Jo, su lang stirv dä Kölsche nit us
Jo, su lang stirv dä Kölsche nit us"
40,Bläck Fööss,Kölsch,Du bess die Stadt,2003,"Du bes die Stadt op die mir all he ston
Du häs et uns als Pänz schon anjedon
Du häs e herrlich Laache em Jeseech
Du bes die Frau die Rotz un Wasser kriesch
Jrau ding Hoor, un su bunt die Kleid
Du häs Knies en d'r Bud, doch de Näjele rut
Jrell jeschmink, un de Fott jet breit
E Jlöck, dat dir dat all jot steit
Du bes die Stadt...

Frech wie Dreck. doch et Hätz es jot
E klei beßje verdötsch, met nix jet am Hoot
Jot jelaunt, das et bal schon nerv
All dat han mer vun dir jeerv
Du bes die Stadt...
Du bes die Stadt am Rhing, dem jraue Storm
Du bes verlieb en dinge staatse Dom
Du bes en Jungfrau un en ahle Möhn
Du bes uns Mam un du blievs iwich schön
Du bes uns Stadt un du bes einfach schön"
41,Kasalla,Kölsch,Stäänefleejer,2013,"Dä Countdown läuft,
ich bau mir ein rakeet
saach nit ich han se nit mieh all
denn wat mer will dat jeiht

loss all dä driss zoröck
un maach mich op d'r wääch
ich schwör ming rakeet die flüch

kumm mer hevve aff
mer han nix zo verliere
kumm met wenn all die stääne explodiere

kumm met mer fleeje
zo de stääne un zoröck
mer övverläje nit lang
un dann finge mer et jlöck
un dann haale mer et fass
un dann packe mer et en
weil mer stäänefleejer sin

weil mer stäänefleejer sin
ayaya... weil mer stäänefleejer sin



jetzt weed et laut
he sprich dä astronaut
met övverschall erus ens all
mer kumme aanjebraus

dä mann im mond
dä freut sich schon exorbitant
dä eeste kölsche he op dem trabant
un mer losse foossaffdröck im sand

3-2-1

kumm met mer fleeje
zo de stääne un zoröck
mer övverläje nit lang
un dann finge mer et jlöck
un dann haale mer et fass
un dann packe mer et en
weil mer stäänefleejer sin

weil mer stäänefleejer sin
ayaya... weil mer stäänefleejer sin

11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1

kumm met mer fleeje
zo de stääne un zoröck
mer övverläje nit lang
un dann finge mer et jlöck
un dann haale mer et fass
un dann packe mer et en
weil mer stäänefleejer sin

weil mer stäänefleejer sin
ayaya... weil mer stäänefleejer sin"
42,Querbeat,Kölsch,Tschingderassabum,2015,"Kei Käsch en der Täsch, kei Euro em Hot
Mir levve vun däm Party Molekül en unserem Bloot
et kleinste Fess ein janz Orchester
mer zönde Rakete wie andere an Silvester
D'r Sound der Stadt der uns ernährt
Mir han uns eije Stratosphär'
Puls un Beat, em Tak vum Rhing
Et es för immer, immer en uns drin

Mer wes et vun de Berje bes aan't Meer
Hee es jede Daach wie e Feuerwerk



Alle hüre Coldplay un U2
Baby bitte saach mir wat hürst Do
un wenn et letzte Radio verstummp
Uns Hätz schleiht Tsching Tsching Tsching Tsching
Tschingderassabum
Ohohoh
Ohohoh
Tschingderassabum
Ohohoh
Ohohoh
Tschingderassabum
Ohohoh
Tschingderassabum
Ohohoh

Mir meede kein Wohnung,
mir nemme uns ein Veedel
Denn do wo et laut es, es unse Jaade Eden
e Levve en stereo
et wor noch nie su perfekt,
et wor noch nie su perfekt
mer odme ein, mer odme us
wat in uns singk, kritt keiner eruss
Wä bruch dä Elektro us Berlin
Ich tank kölsche Tön wie Benzin

Mer wes et vun de Berje bes aan't Meer
Hee es jede Daach wie e Feuerwerk

Alle hüre Coldplay un U2
Baby bitte saach mir wat hürst Do
un wenn et letzte Radio verstummp
Uns Hätz schleiht Tsching Tsching Tsching Tsching
Tschingderassabum
Ohohoh
Ohohoh
Tschingderassabum
Ohohoh
Ohohoh
Tschingderassabum

Hee es jede Daach wie e Feuerwerk
Hee es jede Daach wie e Feuerwerk

Ohohoh
Tschingderassabum
Ohohoh
Tschingderassabum
Alle hüre Coldplay un U2
Baby bitte saach mir wat hürst Do
un wenn et letzte Radio verstummp
Uns Hätz schleiht
Tschingderassabum
Ohohoh
Ohohoh
Tschingderassabum
Ohohoh
Ohohoh"
43,Klaus und Klaus,Hochdeutsch,Da steht ein Pferd auf dem Flur,1982,"Klaus, geh mal zur Tür, es hat gebimmelt

Da steht ein Pferd auf'm Flur
Ein echtes Pferd aufm Flur
Ja, Ja ein Pferd aufm Flur
das ist so niedlich
Da steht ein Pferd auf'm Flur
Ja, Ja ein Pferd aufm Flur
oh, oh ein Pferd aufm Flur
und schaut mich an
(ist das jetzt ein Männchen oder ein Rüde)

Ich hab ein Herz für Tiere und pass gerne auf sie auf
doch heute abend glaub ich nimmt der wahnsinn seinen Lauf DENN



Da steht ein Pferd auf'm Flur
(was steht da?)
Ein echtes Pferd aufm Flur
(was fährt aufm Flur?)
Ja, Ja ein Pferd aufm Flur
(HÄ??)
das ist so niedlich
(He, das sagen se alle)

Da steht ein Pferd auf'm Flur
(Mit oder ohne Wiese?)
Ja, Ja ein Pferd aufm Flur
(ja, ja und winnetou oben drauf!)
oh, oh ein Pferd aufm Flur
(wohl zu viel Futziefilme geshen?)
und schaut mich an
(ein Pferd heißt Pferd weil es fährt SO)

Der zossen steht im Korridor da steht er auch ganz gut
jetzt trag ihn zur Garderobe hin
dann frisst er meinen Hut.
Da steht ein Pferd auf'm Flur
(Wie er frisst einen Hut?)
Ein echtes Pferd aufm Flur
(Ich denk das ist ne Melone!)
Ja, Ja ein Pferd aufm Flur

das ist so niedlich
(ganz herzallerliebst)
Da steht ein Pferd auf'm Flur
(ist das ein Strudelratten?)
Ja, Ja ein Pferd aufm Flur
(n apfelstrudel?)
oh, oh ein Pferd aufm Flur
(nein ich habs, ein Apfelschimmel)
und schaut mich an
(hat der auch n Nummernschild ich wollt mal gucken wie lang der TÜV hat)

Von auusen macht der Hottemax auf Stubenrein und nett
doch jetzt legt mir der gute gaul ein Apfel aufs Parkett

Da steht ein Pferd auf'm Flur
(das ist ja der reinste Obstladen)
Ein echtes Pferd aufm Flur
(Schnell ne schüssel)
Ja, Ja ein Pferd aufm Flur
(ne ein Wischlappen)
das ist so niedlich
Da steht ein Pferd auf'm Flur
(bleibt der gaul für länger?)
Ja, Ja ein Pferd aufm Flur
(na ich mach schon mal die liege fertig)
oh, oh ein Pferd aufm Flur
(aber meine Zahnbürste kriegt der nicht)
und schaut mich an
(kom rein ich heiß Klaus)
(angenehm)"
44,Querbeat,Kölsch,Dä Plan,2016,"20 lück in nem viel zu klenem Zimmer
Nur ne Moment äver dat he is für Immer
Küche, party, kalte Pizza wenn man weel
Und ne schlechte Playlist von der Mitbewohnerin
Antonius, Vallenzia is Mucho Motiviert
One Love one Veedel
Kiosk bier. Und aaf dafür
Mir heize Für wie ein Vulkan
Da kütt ene zu mir aan
He man wat is dä plan?
Ich Kenn ene der ene kennt der sät da jeht noh jet
Ich kenn ene der ene kennt dä is noh waach
Ich kenn ene der ene kennt der sät da jeht noh jet
Ich kenn ene der ene kennt der is noh waach
Da jonn ma hin
40 lück in nem viel zu klenem zimmer
Wir gehn in 3. Stock hurra da simma
Mir kumme rhin und die Polizei is uch schon da
Die spiele Looping Louie mit Schwedinin aus Ooopsala
A realy realy realy realy realy realy love you

A realy realy realy realy realy realy love you
Irgend wie, irgend wo, irgend wann
Da kümmt ene zu mir ahng
He man wat is dä plan?
Ich Kenn ene der ene kennt der sät da jeht noh jet
Ich kenn ene der ene kennt dä is noh waach
Ich kenn ene der ene kennt der sät da jeht noh jet
Ich kenn ene der ene kennt der is noh waach
Da jonn ma hin
Der avend is dout
Lang leeve der Avend
Der Avend is dout
Lang leeve der Avend
Da jeht noch jet
Ich Kenn ene der ene kennt der sät da jeht noh jet
Ich kenn ene der ene kennt dä is noh waach
Ich kenn ene der ene kennt der sät da jeht noh jet
Ich kenn ene der ene kennt der is noh waach
Ich Kenn ene der ene kennt der sät da jeht noh jet
Ich kenn ene der ene kennt dä is noh waach
Ich kenn ene der ene kennt der sät da jeht noh jet
Ich kenn ene der ene kennt der is noh waach"
45,Querbeat,Kölsch,Stonn op un danz,2012,"Häs do vum Daach jenooch,
Wells us dem Käfig 'rus
Schwing dinge heisse Fott
Zum Rhythmus vun d'r Trumm

Färv sich d'r Himmel grau
Un di Möötche es jet mau
Dann driss jet drop
Un drieh et Radio laut op

Mal di Jeseesch janz bunt
Hück schleit ding eetse Stund
Schöddel Dich wie ne naasse Hunk
Jetzt jeht et richtig rund

Ding Fott es voll mit Dynamit

Stonn Op Un Danz
Stonn Op Un Danz



Wie jelve Luftballons
Flüchs do no'm Horizont
Un Dir fällt jetz eets op
Do hätt's et ald lang jekonnt

Häs do der Ärjer satt
merks wie de Lust dich pack
stonn op denn hück dreht sich
Die Welt in dingem Takt

Mal di Jeseesch janz bunt
Hück schleit ding eetse Stund
Schöddel Dich wie ne naasse Hunk
Jetzt jeht et richtig rund

Ding Fott es voll mit Dynamit

Stonn Op Un Danz

Louf in et Rampeleech
Spring op Stohl un Desch
Op drei he us em Wääch
Denn dann weed losjelääch

Stonn op un danz"
46,Domstürmer,Kölsch,"Ohne Dom, ohne Rhing, ohne Sunnesching",2015,"Et jitt Leeder vun zo Huss,
De mer einfach kenne muss
De mer emmer singk
Weil et Freud uns bringk
Wenn mer zosamme sin
Off besunge, weed die Flönz,
Denn mer esse jo nix söns
Un et heiß e lecker Mädche muss et sin
Un e Kölsch jeiht immer noch erin
Pass op, jetz kütt et anders
Ens luure wers versteht
Mer singe jetz met üch
Et eetzte Kölsche Leed:
Ohne Dom, ohne Rhing,
Ohne Sunnesching un ohne ""Oh-Oh-Oh""
Ohne Dom, ohne Rhing,
Ohne Sunnesching un ohne ""Oh-Oh-Oh""
Ohne Dom, ohne Rhing,
Ohne Sunnesching un ohne ""Oh-Oh-Oh""
Ohne Dom, ohne Rhing,
Ohne Sunnesching un ohne ""Oh-Oh-Oh""
Met 'ner Pappnas em Jeseech
Un 'nem Trömmelche us Blech
Stonn mer morjens op un sin super drop
Nä, wat jeiht et uns doch jod
Wat han mer nit schon all jesunge
Wie schön et he doch es
Mir sin däm Herrjot jo su jod jelunge
Un op jewess reimt sich nor Dress!
Ohne Dom, ohne Rhing,
Ohne Sunnesching un ohne ""Oh-Oh-Oh""
Ohne Dom, ohne Rhing,
Ohne Sunnesching un ohne ""Oh-Oh-Oh""
Ohne Dom, ohne Rhing,
Ohne Sunnesching un ohne ""Oh-Oh-Oh""
Ohne Dom, ohne Rhing,
Ohne Sunnesching un ohne ""Oh-Oh-Oh""
Sibbe Dach erus, ens einfach fott,
Dat deit doch och ens jot
Doch wä 'ne echte Kölsche es,
Jeiht noh ner Woch kapott
Jeiht noh ner Woch kapott
Ohne Dom, ohne Rhing,
Ohne Sunnesching un ohne ""Oh-Oh-Oh""
Ohne Dom, ohne Rhing,
Ohne Sunnesching un ohne ""Oh-Oh-Oh""
""Jeiht ET NIT""
Ohne Dom, ohne Rhing,
Ohne Sunnesching un ohne ""Oh-Oh-Oh""
Ohne Dom, ohne Rhing, 
Ohne Sunnesching un ohne ""Oh-Oh-Oh""
Un ohne ""Oh-Oh-Oh""
Un ohne ""Oh-Oh-Oh""
Ohne Dom"
47,Cat Ballou,Kölsch,Die Stääne stonn joot,2014,"D'r Mond es opjejange
Die Naach es stääneklor
Die Stadt fäng aan ze leuchte
Et funkele Leechter överall
Do häs dat Jeföhl et trick dich russ op die Stroße
Wo sich et Lääve affspillt
Do häs dat Jeföhl dich trick jet aan
löss dich nicht schlofe
Hück kanns de mache wat do wills



Die Stääne stonn joot
Alles wie för uns jemaht
Die Stääne stonn joot
Uns jehürt die Naach
Die Stääne stonn joot

Mir lieje am Boddem d'r Himmel em Blick
Zöm Jriefe noh
De Zokunf em Aug, kei Zuröck
Nix bliev su wie et wor
Mir han e Jeföhl un künne jet riskiere
Angst un Sorje jitt et nit
Mir han e Jeföhl un künne nix verliere
Denn ejal wat och kütt

Die Stääne stonn joot ...

Alles, alles, alles, alles
Alles wie för uns jemaht

Die Stääne stonn joot ..."
